text,tag,md
"Nottingham Forest ganó dos Copas de Europa seguidas (1979, 1980) con Brian Clough, milagro competitivo desde 2.ª división años antes.",Champions,
"Steaua 1986 venció al Barça con Duckadam atajando 4 penales seguidos: hazaña balcánica en Sevilla.",Champions,05-07
"Porto 1987 ganó con el tacón de Madjer y la carrera de Juary: 2–1 al Bayern; creatividad y sorpresa táctica.",Champions,05-27
"PSV 1988 fue campeón por penales ante Benfica, sello neerlandés de disciplina táctica y técnica.",Champions,05-25
"La Copa Libertadores comenzó en 1960; Peñarol fue el primer campeón. La mística copera combina viajes largos y canchas difíciles.",Libertadores,
"Independiente es el ‘Rey de Copas’ (7). Su hegemonía 60–70 consolidó la leyenda de Avellaneda en la Libertadores.",Libertadores,
"Boca Juniors forjó su leyenda continental con Bianchi y Riquelme en los 2000; Bombonera como fortaleza emocional.",Libertadores,
"Alberto Spencer (Ecuador) es el máximo goleador histórico de la Libertadores (54). Ídolo de Peñarol: técnica, cabezazo, oportunismo.",Libertadores,
"River Plate venció a Boca en la final 2018 (Madrid): 3–1 en prórroga, hito por contexto y traslado de sede.",Libertadores,12-09
"Desde 2019 la final de Libertadores es a partido único en sede neutral: cambia logística, preparación y espectáculo.",Libertadores,
"Estudiantes LP ganó 4 (tres seguidas 1968–70) con Zubeldía: táctica, pelota parada y rigor competitivo.",Libertadores,
"Santos de Pelé bicampeón 1962–63: apoyos, talento individual y proyección internacional del jogo bonito.",Libertadores,
"Peñarol y Nacional alimentaron el gen competitivo uruguayo con finales épicas y viajes de epopeya.",Libertadores,
"LDU Quito fue el primer club ecuatoriano campeón de Libertadores (2008): altura, presión y manejo del ritmo en casa.",Libertadores,
"Barcelona SC llegó a finales en 1990 y 1998: generaciones carismáticas y apoyo masivo del Monumental.",Libertadores,
"El VAR llegó a la Libertadores progresivamente desde 2017 en fases avanzadas, ajustando decisiones milimétricas.",Libertadores,
"El Mundial de Clubes sucedió a la Intercontinental (Europa vs Sudamérica), integrando campeones de todas las confederaciones.",Libertadores,
"CONMEBOL juega Eliminatorias todos contra todos desde el camino a 2002: formato largo que premia regularidad y fondo de plantilla.",Eliminatorias,
"Repechajes intensos: Australia–Uruguay 2005 se definió por penales con Schwarzer héroe; ida/vuelta de altísima tensión.",Eliminatorias,11-16
"Australia compite en la AFC desde 2006 (antes OFC), elevando su competitividad con más partidos exigentes.",Eliminatorias,
"UEFA eliminó el gol de visitante en 2021; cambió lecturas tácticas: más prórrogas y menos especulación fuera de casa.",Historia,06-24
"Tarjetas amarilla y roja se estrenaron en 1970; la primera roja directa en Mundial a Carlos Caszely (Chile) fue en 1974.",Mundial,
"El offside evolucionó para favorecer el ataque: desde 2005 estar ‘en línea’ habilita; fomenta profundidad y extremos.",Historia,
"El Estadio Azteca albergó dos finales mundiales (1970 y 1986): templo de Pelé y Maradona; único en la historia.",Mundial,
"Un día como hoy 1999: el Manchester United remontó en el descuento y ganó la Champions 2–1 al Bayern en Barcelona.",Champions,05-26
"Un día como hoy 2005: el Liverpool pasó del 0–3 al 3–3 y fue campeón por penales en Estambul.",Champions,05-25
"Un día como hoy 2014: Sergio Ramos empató al 93’ y el Madrid conquistó ‘La Décima’.",Champions,05-24
"Un día como hoy 2018: River y Boca jugaron la final de Libertadores en Madrid por cuestiones de seguridad.",Libertadores,12-09
"Un día como hoy 1950: Uruguay silenció Maracaná y fue campeón del mundo.",Mundial,07-16
"Un día como hoy 1986: Maradona firmó Mano de Dios y Gol del Siglo.",Mundial,06-22
"Un día como hoy 2014: Alemania goleó 7–1 a Brasil en semifinales.",Mundial,07-08
"Un día como hoy 2022: Argentina venció a Francia en una final vibrante.",Mundial,12-18
